feature,bucket,horizon_d,sample_count,is_underpowered,mean_return,median_return,winsorized_mean_return_5pct,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,universe
volume_contraction_days_10d,0,5,1608,false,0.006577313146801323,0.002094426850771547,0.003966993674771459,0.06459393306699371,0.5074626865671642,-0.057235112652894694,0.07922476556584535,0.0007273131468013229,-0.02367373939448132,0.0285287216456095,all
volume_contraction_days_10d,1,5,1574,false,0.006564208063531338,0.0022923908388443603,0.004766991892592578,0.06404757046852733,0.5127064803049556,-0.05710526315789466,0.07709267110841916,0.0007142080635313379,-0.023256814467032694,0.028371129237235258,all
volume_contraction_days_10d,2,5,1680,false,0.0028139679572970304,0.0,0.002301056263849222,0.06672925055245091,0.49523809523809526,-0.0581032687352183,0.07048573170310911,-0.003036032042702969,-0.024263013535433413,0.024813876418236444,all
volume_contraction_days_10d,3+,5,7096,false,0.0029489246670164563,0.0016246964417696574,0.0019077339573831782,0.06121091861401055,0.5066234498308907,-0.06111111111111106,0.06482984063977582,-0.002901075332983542,-0.024448831657092496,0.024272890765699977,all
volume_contraction_days_10d,0,10,1606,false,0.01784251327142126,0.004884070416487751,0.011977316898397199,0.09181230194070593,0.5323785803237858,-0.0695212170032315,0.1187809405940593,0.011992513271421264,-0.03470839243349754,0.05129998097907648,all
volume_contraction_days_10d,1,10,1573,false,0.016440278612876336,0.006279434850863241,0.011517411965768555,0.08996305973956072,0.536554354736173,-0.07006376444340391,0.11411038148843022,0.010590278612876343,-0.03526247676656299,0.050674359591628436,all
volume_contraction_days_10d,2,10,1678,false,0.011256800716951077,0.003664130678003974,0.007442587493786497,0.08753084263540732,0.5208581644815257,-0.07328976520243088,0.09928604597167398,0.005406800716951079,-0.03597650654172628,0.04482921096688822,all
volume_contraction_days_10d,3+,10,7095,false,0.01233985120182243,0.004658385093167627,0.007727519055836183,0.0852131848282029,0.5317829457364341,-0.07186535386489698,0.09948703460088476,0.00648985120182243,-0.03587361269795848,0.04570764856758382,all
volume_contraction_days_10d,0,20,1597,false,0.024952109229764513,0.0077821011673151474,0.015783892995211702,0.13367345031879319,0.5428929242329368,-0.10208714586856311,0.16368499012508236,0.019102109229764512,-0.051398076039972686,0.08228829155518294,all
volume_contraction_days_10d,1,20,1564,false,0.026878593933029132,0.009090992571097911,0.017832660921891303,0.13238988314210334,0.5485933503836317,-0.09822868410745399,0.17575336232177174,0.021028593933029135,-0.05159588635196846,0.08354753088216756,all
volume_contraction_days_10d,2,20,1674,false,0.014146434429907418,0.0,0.0061305095235926555,0.12848300463059992,0.4934289127837515,-0.10600423472474292,0.1421798435580839,0.008296434429907417,-0.05573030177399229,0.07385002898388733,all
volume_contraction_days_10d,3+,20,7078,false,0.01960660916455336,0.005466738590228393,0.011068464967726472,0.12609481091484953,0.5237355185080531,-0.10432552838789898,0.14621275211450876,0.013756609164553353,-0.05428644220408124,0.07642993964302569,all
volume_contraction_days_10d,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
volume_contraction_days_10d,2,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
tight_range_days_10d,0,5,10973,false,0.004150426595719348,0.0019230769230769162,0.0028211484579354303,0.06325788481243814,0.5089765788754215,-0.06020993846631157,0.0701555023923446,-0.0016995734042806515,-0.024365268871028932,0.02571019844216447,all
tight_range_days_10d,1,5,290,false,-0.0008367542069267904,-0.001022494887525538,-0.0010171786276010923,0.05534162533888554,0.4793103448275862,-0.05862375533428161,0.06012987120690654,-0.006686754206926787,-0.023682805844040325,0.02109417066762019,all
tight_range_days_10d,2,5,202,false,-0.002624130322073244,-0.004535631979539156,-0.003272090651318873,0.05391953306191658,0.41089108910891087,-0.06159190233923568,0.05441877794336803,-0.008474130322073243,-0.024305366525336845,0.020283648641230733,all
tight_range_days_10d,3+,5,493,false,0.003633916121098977,0.0,0.0009507836101485459,0.06145065661857885,0.49290060851926976,-0.04982476982476981,0.05526405182288585,-0.002216083878901018,-0.019851071077082522,0.02459528003363782,all
tight_range_days_10d,0,10,10967,false,0.014103687115777407,0.005319148936170359,0.009323736390856758,0.08684697743463918,0.5357891857390353,-0.07188524241263354,0.10544507810562852,0.008253687115777408,-0.03571186463344122,0.04762258088316063,all
