stock_id,sector,is_etf,entry_date,exit_date,holding_days,entry_price,exit_price,shares,notional_at_entry,exit_proceeds,net_pnl_ntd,gross_return_pct,regime_at_entry,regime_at_exit,exit_reason,score
00878,etf,true,2025-02-19,2025-03-03,12,20.770028454805836,20.58507717738103,10784.061082852668,223985.25554921414,221008.4206972966,-2976.834851917549,-0.8904719501335645,bull,bull,trailing_stop,0.7
2412,telecom,false,2025-02-03,2025-03-07,32,120.83457249070632,123.24163568773234,1853.139267241121,223923.29112282163,227373.31563051156,3450.02450768993,1.9920318725099584,bull,bear,regime_exit,0.7
2891,financial,false,2025-02-10,2025-03-07,25,38.03491448118586,37.94018244013682,5885.631032392218,223859.47298485163,222313.8041697781,-1545.668815073528,-0.24906600249067212,bull,bear,regime_exit,0.5
2330,semi,false,2025-08-07,2025-08-20,13,1167.5612722536107,1123.0356305151256,191.38493565459873,223453.6389630587,213981.0273331225,-9472.611629936204,-3.813559322033888,bull,bull,trailing_stop,0.7
0050,etf,true,2025-08-07,2025-08-20,13,51.72000695894224,50.980445372303414,4320.448741247205,223453.6389630587,219283.7576124015,-4169.881350657204,-1.4299332697807365,bull,bull,trailing_stop,0.6
2412,telecom,false,2025-08-06,2025-08-26,20,132.5,133.5,1686.9233313612017,223517.3414053592,224207.73586526045,690.394459901232,0.7547169811320753,bull,bull,trailing_stop,0.6
2882,financial,false,2025-08-14,2025-08-27,13,64.6,62.6,3473.809855164299,224408.11664361367,216498.23423435533,-7909.882409258338,-3.0959752321981338,bull,bull,trailing_stop,0.6
2454,semi,false,2025-09-05,2025-09-19,14,1407.711475409836,1412.616393442623,155.59117126558252,219027.47726301767,218818.06562621982,-209.41163679785677,0.34843205574912606,bull,bull,trailing_stop,0.7
2891,financial,false,2025-09-16,2025-09-25,9,43.45,42.5,5221.64472550364,226880.46332313318,220937.90527271468,-5942.558050418505,-2.1864211737629535,bull,bull,trailing_stop,0.5
3711,electronics,false,2025-09-01,2025-09-26,25,156.0,165.5,1404.4225505744628,219089.9178896162,231403.42082044226,12313.502930826071,6.08974358974359,bull,bull,trailing_stop,0.7
0056,etf,true,2025-09-08,2025-10-14,36,33.012874483766105,34.112992865320585,6759.972751242326,223166.13195044195,229582.48439051048,6416.352440068527,3.332391979666771,bull,bull,trailing_stop,0.6
3711,electronics,false,2025-10-16,2025-11-07,22,191.5,228.5,1155.5557521474227,221288.92653623145,262876.0925002429,41587.16596401148,19.321148825065283,bull,bull,trailing_stop,0.7
2303,semi,false,2025-11-03,2025-11-07,4,47.6,45.0,4935.128576824969,234912.12025686854,221098.07847926335,-13814.04177760519,-5.462184873949583,bull,bull,trailing_stop,0.7
2881,financial,false,2025-10-09,2025-11-18,40,89.8,89.5,2478.8712870295876,222602.64157525694,220877.25420181113,-1725.3873734458175,-0.33407572383072903,bull,bull,trailing_stop,0.6
2303,semi,false,2025-12-05,2026-01-02,28,48.9,48.7,4637.339837063357,226765.91803239813,224839.11492344792,-1926.8031089502038,-0.4089979550102152,bull,bull,trailing_stop,0.6
00919,etf,true,2025-12-12,2026-01-30,49,20.924849749200327,22.675332496863238,10925.308597413887,228610.44086453214,246638.77767973184,18028.3368151997,8.365569017908037,bull,bull,trailing_stop,0.6
2308,electronics,false,2026-01-16,2026-02-02,17,1125.0,1175.0,210.1292632530172,236395.42115964435,245809.34348416905,9413.922324524698,4.444444444444451,bull,bull,trailing_stop,0.7
2891,financial,false,2025-11-24,2026-03-04,100,44.1,50.5,5133.071578242346,226368.45660048747,258073.0656936855,31704.60909319803,14.512471655328785,bull,bull,trailing_stop,0.6
2454,semi,false,2026-01-23,2026-03-04,40,1630.0,1720.0,148.7006251261777,242382.01895566966,254633.3147591903,12251.295803520654,5.521472392638027,bull,bull,trailing_stop,0.7
3711,electronics,false,2026-02-09,2026-03-04,23,327.0,327.5,749.8442723622712,245199.0770624627,244487.33425218984,-711.7428102728445,0.1529051987767538,bull,bull,trailing_stop,0.6
2412,telecom,false,2026-02-23,2026-03-09,14,135.0,136.0,1846.9494292425386,249338.1729477427,250073.62821046708,735.4552627243684,0.7407407407407307,bull,crisis,regime_exit,0.7
00919,etf,true,2026-04-22,2026-05-15,23,23.94,25.76,10016.532135228648,239795.77931737385,256884.10333845954,17088.32402108569,7.602339181286544,bull,bull,end_of_backtest,0.6
2882,financial,false,2026-04-29,2026-05-15,16,78.6,77.9,3042.5760643311087,239146.4786564251,235967.87662269795,-3178.602033727162,-0.8905852417302684,bull,bull,end_of_backtest,0.7
