date,cash,positions_value,equity,n_positions,exposure_pct
2024-11-12,672403.0469874234,473469.3228105899,1145872.3697980135,2,41.31955139943289
2024-11-13,672403.0469874234,472241.25704526657,1144644.30403269,2,41.25659433079045
2024-11-14,901940.0934941745,236541.53004475575,1138481.6235389302,1,20.776930005200672
2024-11-15,1132424.3988903055,0.0,1132424.3988903055,0,0.0
2024-11-18,1132424.3988903055,0.0,1132424.3988903055,0,0.0
2024-11-19,1132424.3988903055,0.0,1132424.3988903055,0,0.0
2024-11-20,905616.7781585606,226484.87977806112,1132101.6579366217,1,20.00570162496312
2024-11-21,905616.7781585606,226484.87977806112,1132101.6579366217,1,20.00570162496312
2024-11-22,905616.7781585606,224699.19084419994,1130315.9690027605,1,19.879325516602623
2024-11-25,905616.7781585606,222318.27226571835,1127935.050424279,1,19.710201592023594
2024-11-26,905616.7781585606,226187.26495575093,1131804.0431143115,1,19.984666633047727
2024-11-27,905616.7781585606,224401.57602188975,1130018.3541804503,1,19.85822400067455
2024-11-28,905616.7781585606,224699.19084419994,1130315.9690027605,1,19.879325516602623
2024-11-29,905616.7781585606,222615.88708802854,1128232.665246589,1,19.731381118926663
2024-12-02,905616.7781585606,229758.64282347335,1135375.420982034,1,20.236358703691636
2024-12-03,905616.7781585606,232139.5614019549,1137756.3395605155,1,20.40327558109886
2024-12-04,905616.7781585606,230949.1021127141,1136565.8802712748,1,20.319904558246225
2024-12-05,905616.7781585606,232437.1762242651,1138053.9543828256,1,20.424091083653177
2024-12-06,905616.7781585606,232734.79104657532,1138351.569205136,1,20.444895702044356
2024-12-09,905616.7781585606,232437.1762242651,1138053.9543828256,1,20.424091083653177
2024-12-10,677622.03412031,460405.1048876025,1138027.1390079125,2,40.456425783392625
2024-12-11,449692.2685841102,688010.532689185,1137702.8012732952,3,60.47366077671399
2024-12-12,449692.2685841102,697418.7921957495,1147111.0607798598,3,60.797843908994444
2024-12-13,449692.2685841102,705772.7828454496,1155465.05142956,3,61.08127476224886
2024-12-16,449692.2685841102,704989.6800273898,1154681.9486115,3,61.05488016636414
2024-12-17,449692.2685841102,708166.2625668624,1157858.5311509725,3,61.16172602389584
2024-12-18,449692.2685841102,709427.2302351469,1159119.4988192571,3,61.20397689434166
2024-12-19,449692.2685841102,702699.565788103,1152391.834372213,3,60.97748568054647
2024-12-20,677841.6336596467,460648.75774349674,1138490.3914031435,2,40.46136543811896
2024-12-23,677841.6336596467,468414.51840471145,1146256.1520643581,2,40.86473320654524
2024-12-24,677841.6336596467,470591.39116706,1148433.0248267069,2,40.97682502974608
2024-12-25,677841.6336596467,469787.28938059555,1147628.9230402424,2,40.935469640836345
2024-12-26,677841.6336596467,474493.83229673334,1152335.4659563801,2,41.176709935151344
2024-12-27,677841.6336596467,478102.1584321639,1155943.7920918106,2,41.360329256752536
2024-12-30,677841.6336596467,478063.036834032,1155904.6704936787,2,41.35834459686495
2024-12-31,677841.6336596467,475023.37988802104,1152865.0135476678,2,41.2037293443618
2025-01-02,677841.6336596467,461412.17719381105,1139253.8108534578,2,40.50126256309381
2025-01-03,904166.5681503441,235016.57817652612,1139183.1463268702,1,20.630271693739747
2025-01-06,673936.247716395,475249.6862907719,1149185.934007167,2,41.35533443518531
2025-01-07,441017.59153568145,721587.0686420752,1162604.6601777566,3,62.066418048913384
2025-01-08,441017.59153568145,710023.1304144814,1151040.721950163,3,61.685318066898375
2025-01-09,441017.59153568145,694932.2851401505,1135949.8766758319,3,61.17631591050075
2025-01-10,666336.3772274348,476182.175440977,1142518.5526684118,2,41.67828822812799
2025-01-13,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-14,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-15,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-16,1119616.4556141081,0.0,1119616.4556141081,0,0.0
